Отметка времени;Id;Пол;Возраст;Максимальный рейтинг в Доте;Рейтинг в доте на данный момент;Количество часов в игре (хотя бы примерное);Какое количество игр в среднем ты играешь в неделю? ;У меня ухудшается настроение, если я долго не играю в Доту 2;Почти все свое свободное время я трачу на Доту 2;Я часто играю больше, чем нужно, так как не могу остановиться (регаю новую игру);"Когда я играю в Доту я полностью над ней сосредоточен (не играю ""фо фан"")";С каждой неделей/месяцем я провожу в Доте все больше времени, чем раньше;Я часто регаю некст игру несмотря на дискомфорт (я могу играть голодный, не выспавшийся, в плохом самочувствии и т.д.);Я не рассказываю семье/друзьям о количестве часов, которое я провожу в Доте;Дота позволяет мне забыть о стрессе и жизненных проблемах ирл;Из-за количества часов, проводимых в игре я хуже учусь/работаю/выполняю иные задачи;Каждую игру в доте я играю на победу;Я часто играю в доту фо фан - мне интересен сам процесс игры (пробую разные сборки, новых героев, связки и тд);Если мне откровенно руинят игру тиммейты, я могу заруинить им в ответ;Я могу ливнуть из игры/встать в амулет, если что-то идет не так;У меня есть конкретная цель - апнуть птсы (например: взять 6к mmr или медаль властелина/дивайна/титана);Я играю в доту для того, чтобы побеждать;В доте слишком многое зависит не от меня и моей игры;Если я проигрываю, то это чаще всего связано с плохой игрой тиммейтов;Если бы у меня была сильная команда в каждой игре, я бы почти не проигрывал;Мой возможный птс намного больше, чем мой актуальный ;Я долгое время сижу на одном и том же рейтинге без видимого прогресса;У меня часто пропадает желание играть, когда мои тиммейты играют плохо;MMR - это всего лишь цифра, она не показывает реальный скилл игрока;Напиши трех героев, на которых у тебя сыграно больше всего игр, количество и винрейт на этих персонажах (например: Пудж, 152 игры, 56%):
2021/11/10 5:06:23 PM GMT+3;7596;М;15;800;800;1300;Больше 50 игр (хочу быть как ILTW, тренируюсь каждый день нон-стоп);1;5;3;1;1;5;1;5;1;1;5;5;5;1;1;5;5;5;1;5;1;5;лион пудж течис 
2021/11/10 5:10:39 PM GMT+3;7597;М;16;3000;3300;250;6-10 игр (пару дней в неделю стабильно-дота);1;3;5;4;2;4;4;1;2;5;1;1;1;5;5;3;3;5;5;2;5;5;антимаг матч 70 вин 59.сларк 60 матч 56 вин алхимик 110 52 вин
2021/11/10 5:10:52 PM GMT+3;7598;М;15;1100-150;1000;2к;20-30 игр (каждый день по несколько игр);3;4;4;4;2;5;5;5;5;4;2;5;5;5;5;3;4;5;3;3;4;2;Играю преимущественно на 1 позиции. Но раньше хотел стать мидером) топ 1 Сф 125 игр 44%, топ 2 бристл бек 82 игры 75% винрейт, топ 3 хускар 69 игр 50.7% винрейт) сф в кери пикаю если по пику заходит
2021/11/10 5:13:02 PM GMT+3;7599;М;15;800;600;2.5к;20-30 игр (каждый день по несколько игр);3;3;3;5;1;5;5;5;1;4;3;1;4;1;5;3;3;3;3;5;2;4;"лон друид, 80 игр, 70%
хускар,60 игр, 55%
шторм спирит, 73 игры, 48%"
2021/11/10 5:16:30 PM GMT+3;7600;М;23;5800;5700;7000;6-10 игр (пару дней в неделю стабильно-дота);1;3;1;5;2;5;3;1;2;5;3;1;1;3;3;3;3;5;3;1;2;1;Андерлорд 523 игры 59%, бристл 306 игр 57%, тайд 251 игра 57%.
2021/11/10 5:20:42 PM GMT+3;7601;М;17;1350;1330;3454;11-20 игр (почти каждый день по несколько игр);1;1;2;2;2;1;5;1;3;4;2;4;2;1;4;5;4;4;4;5;3;2;не могу дать конкретный ответ т.к играю в turbo и в статистике героев не засчитываются игры,но больше всего играю на инвокере и тинкере
2021/11/10 5:24:50 PM GMT+3;7602;М;21;+-1200;1000;2300-2500;11-20 игр (почти каждый день по несколько игр);2;4;5;5;3;2;5;4;4;4;1;5;3;5;5;3;4;4;2;5;4;3;"Феникс, 150 игр, 44,5%; Апарат, 144 игры, 61,8%; Лайфстилер, 88 игр, 56,8%"
2021/11/10 5:32:26 PM GMT+3;7603;М;18;700;360;600;11-20 игр (почти каждый день по несколько игр);1;2;2;4;3;2;4;3;2;5;2;2;1;5;5;3;3;3;3;5;3;2;Juggernaut, 38 игр, 42%  Sven, 25 игр, 64%  Faceless Void, 25 игр, 76%
2021/11/10 5:32:53 PM GMT+3;7604;М;13;360;360;550;20-30 игр (каждый день по несколько игр);4;5;3;4;4;1;1;4;2;4;2;1;1;5;5;3;2;2;4;1;3;5;Сфчик, 50 игр, 56%, Рикимару,20 игр,70%,Темплар Асасин,20 игр,42%
2021/11/10 5:34:15 PM GMT+3;7605;М;20;2700;1100;2700;1-5 игр (по выходным чисто пару каток);2;2;1;3;1;2;2;3;3;4;3;3;3;3;4;2;2;2;3;4;4;4;Мипо 144 игры 56 процент, Террорблейд 103 игры 59 процент, Морфлинг 98 игр 49 процент.
2021/11/10 5:37:54 PM GMT+3;7606;М;17;2000;1500;1900;20-30 игр (каждый день по несколько игр);3;4;5;4;1;2;3;4;4;4;2;2;2;4;5;2;2;5;4;3;5;4;"морф, 258 игр, 63%; темпларка, 156, 55%, тинкер, 46, 60%"
2021/11/10 5:39:56 PM GMT+3;7607;М;22;4300;3800;5000;6-10 игр (пару дней в неделю стабильно-дота);2;2;4;4;1;4;4;5;2;2;3;1;1;4;4;2;2;2;4;4;1;2;night stalker, phoenix, nature prothet
2021/11/10 5:45:41 PM GMT+3;7608;М;13;1200;1000;700;6-10 игр (пару дней в неделю стабильно-дота);3;2;2;3;1;4;3;5;4;4;2;2;2;1;5;2;2;4;3;4;2;5;Свен, 94 игры, 55% , Петух, 59 игр, 58%, Джаггернаут, 24 игры , 61%
2021/11/10 5:51:10 PM GMT+3;7609;М;18;4k;3k;3.5k;20-30 игр (каждый день по несколько игр);2;2;1;5;3;2;5;5;1;4;2;1;2;5;5;3;2;3;4;5;3;3;"(учитывая все аккаунты) пудж +- 250 игр, винтрейт 53-56%; бейн 150 +- игр, винрейт 60%; антимаг 200 +- игр, винрейт 57-60%"
2021/11/10 5:52:38 PM GMT+3;7610;М;19;3100;2600;3500;11-20 игр (почти каждый день по несколько игр);2;2;1;4;2;1;3;4;1;4;3;1;1;3;4;4;2;3;4;2;3;4;shadow fiend, 96, 46%. ogre magi, 94, 58%. treant protector, 75, 69%
2021/11/10 5:52:39 PM GMT+3;7611;М;18;1890;хз, примерно тот же;1000;1-5 игр (по выходным чисто пару каток);2;1;1;4;1;1;5;4;2;4;4;1;1;5;4;3;4;3;4;3;3;4;Я забросил полгода назад, могу максимум вспомнить любимую виндру, паджа и сф
2021/11/10 5:55:53 PM GMT+3;7612;М;20;1240;1240;800;6-10 игр (пару дней в неделю стабильно-дота);1;2;3;4;2;3;2;1;1;4;2;1;1;5;1;3;3;2;4;1;2;3;Slark(23, 65%), Tide(23, 47%), Clinkz(22, 63%)
2021/11/10 5:58:20 PM GMT+3;7613;М;18;Калибровка (где-то до 1К);Калибровка ;130;6-10 игр (пару дней в неделю стабильно-дота);2;2;3;2;5;4;5;5;5;3;5;2;1;1;2;3;2;4;3;3;5;4;Shadow Shaman, 21 игр, 52%. Leon, 13 игр, 46%, Disraptor, 5 игр, 20%
2021/11/10 6:01:19 PM GMT+3;7614;М;15;1740;1410;2227;11-20 игр (почти каждый день по несколько игр);2;1;2;3;1;1;3;1;1;5;3;3;2;4;4;3;2;3;3;5;4;3;"Арк Варден, 135 игры, 56,3%; Джаггернаут, 114 игр, 53,5%;Манки Кинг, 67 игр, 50,7%."
2021/11/10 6:06:41 PM GMT+3;7615;М;22;4500;3850;8000;6-10 игр (пару дней в неделю стабильно-дота);3;1;2;4;1;1;1;1;1;4;2;1;1;4;4;3;2;2;3;2;3;2;"https://www.dotabuff.com/players/130760516
https://www.dotabuff.com/players/1055287244

вернулся в доту после большого перерыва - не уверен, какая статистика нужна
старый акк:
бх 230 игры 55%
ам 210 игры 55%
никс 154 игры 57%

новый акк:
тракса 23 игры 47%
апарат 19 игр 78%
дазл 16 игр 56%"
2021/11/10 6:07:37 PM GMT+3;7616;М;20;2500;1200;2000;20-30 игр (каждый день по несколько игр);4;5;4;4;3;5;3;4;5;3;2;1;1;4;4;3;2;2;3;3;4;3;Некр, 148 игр, 61%. Шторм, 146 игр, 36%. Хускар, 111 игр, 53%
2021/11/10 6:08:26 PM GMT+3;7617;М;20;4 с чем-то, не более 4500;3700;Около 5-6 к;20-30 игр (каждый день по несколько игр);2;4;5;5;3;2;3;4;5;5;1;1;1;1;3;3;2;3;2;3;2;3;"Буду писать цифру в сумме с 3 аккаунтов: 
1) Пудж, ~500, 56-57% 
2) Рубик, ~330, 61%
3) Энигма, ~300, 65%"
2021/11/10 6:09:43 PM GMT+3;7618;М;25;2300;1700;948;6-10 игр (пару дней в неделю стабильно-дота);1;2;4;5;3;4;3;2;3;5;2;1;1;4;4;3;3;3;2;5;5;3;"Абаддон, 88 игр, 45,45%
Варлок, 55 игр, 61,82%
Акс, 50 игр, 50%"
2021/11/10 6:13:47 PM GMT+3;7619;М;24;Нету;Ну нету же;10к примерно;11-20 игр (почти каждый день по несколько игр);1;2;1;3;1;2;1;3;1;3;3;4;3;1;3;4;5;5;3;3;2;5;Earth Spirit, Brew♂master♂. Больше всего игр на них, статистику не могу сказать, потому что очень много аккаунтов. Спасибо за тест, было интересно. И так же спасибо за видео и творчество. 
2021/11/10 6:15:01 PM GMT+3;7620;Ж;19;3600;3550;1450;1-5 игр (по выходным чисто пару каток);3;1;1;3;2;1;1;4;1;5;3;1;1;2;4;3;2;5;3;3;3;4;"фея, 256 игр, 68%; цм, 212 игр, 59%; лич, 129 игр, 64%"
2021/11/10 6:16:20 PM GMT+3;7621;М;23;1800;1720;Около 3000, процентов 65 оттуда это кастомки и просто ожидание;6-10 игр (пару дней в неделю стабильно-дота);2;2;1;2;2;1;5;4;2;2;4;1;1;1;4;3;2;3;1;4;3;2;Дарк Виллоу, 265 игр, 56.6%. Клинкз 34 игры 52 %. Джакиро 24 игры, 29%
2021/11/10 6:18:53 PM GMT+3;7622;М;15;2300;2180;2000;11-20 игр (почти каждый день по несколько игр);4;3;4;3;1;1;2;4;3;4;2;1;1;5;4;2;3;4;5;5;4;2;скаймаг 147 56% бара 80 62% сф 68 46%
2021/11/10 6:21:51 PM GMT+3;7623;М;19;6100;5800;10000;20-30 игр (каждый день по несколько игр);4;3;3;2;1;3;1;4;3;3;2;5;1;1;2;3;4;5;3;4;2;2;Шторм 3к-65%/Тини 1к-60%/Морф 800-52%
2021/11/10 6:23:08 PM GMT+3;7624;М;15;1600;1500;1300;Больше 30 игр (по много пабликов каждый день);4;5;5;5;2;2;5;5;4;5;2;1;1;5;5;1;1;2;3;4;3;2;ам 197 игр 56% сралк 106 58% пл 59 74%
2021/11/10 6:23:50 PM GMT+3;7625;М;15;840;720;200;6-10 игр (пару дней в неделю стабильно-дота);4;2;1;3;1;2;4;4;2;3;3;1;1;4;3;4;3;4;3;4;5;4;Миреска, дазл, андайнг
2021/11/10 6:24:51 PM GMT+3;7626;М;21;6400;5500;10000;11-20 игр (почти каждый день по несколько игр);3;4;5;4;2;5;5;5;5;4;1;2;2;4;4;4;2;3;1;5;2;1;Invoker, 4213 игр, 58%. SF, 326 игр, 47%. Tinker,311 игр, 52%
2021/11/10 6:30:01 PM GMT+3;7627;М;19;1560;1460;1700;20-30 игр (каждый день по несколько игр);2;4;2;4;4;4;4;3;4;5;2;5;4;5;5;4;4;3;3;4;3;3;"Shadow Fiend, 81 игр, 43.21%.
 Phantom Lancer, 75 игр, 62.67%. 
Wraith King, 66 игр 56.06%"
2021/11/10 6:33:25 PM GMT+3;7628;М;13;Не отколибровался ;Не отколибровался ;130;20-30 игр (каждый день по несколько игр);3;2;3;3;2;2;1;5;4;4;3;2;1;4;3;4;3;3;3;3;3;3;Хускар,13 игр,84%.МК,11игр 44%.Лион 9игр,88%
2021/11/10 6:35:05 PM GMT+3;7629;М;21;5600;5100;6500;20-30 игр (каждый день по несколько игр);2;4;3;4;2;2;4;5;3;5;3;1;1;4;5;3;3;4;4;2;2;4;wraith king, 500, 62%, drow ranger, 150, 65%, ursa, 120, 58%
2021/11/10 6:36:22 PM GMT+3;7630;М;15;4080;3900;1838;11-20 игр (почти каждый день по несколько игр);1;4;1;5;3;4;1;2;1;5;2;1;1;1;5;4;3;4;1;1;2;1;Spectre, 286 игр, 65%. Legion Commander, 177 игр, 67%. Anti-Mage, 127 игр, 52%.
2021/11/10 6:38:17 PM GMT+3;7631;М;27;1180;1180;3000, играю с 2008го;6-10 игр (пару дней в неделю стабильно-дота);1;1;1;4;1;1;1;3;1;3;3;1;1;1;2;2;2;1;2;3;3;1;"Вич доктор, 53 игры, 64.2%; Лион, 43 игры, 48,8%; Драгон Найт(ДК), 35 игр, 71.4%; статистика только за новый акк, на котором +-650 часов"
2021/11/10 6:38:37 PM GMT+3;7632;М;15;550;520;557;1-5 игр (по выходным чисто пару каток);2;2;1;3;1;2;4;3;2;4;3;2;1;2;3;3;2;3;4;5;3;4;Sf 41 игра 58%, дазл 39 игр 51%, Лион 30 игр 60%
2021/11/10 6:41:14 PM GMT+3;7633;М;20;3500;2200;3000;1-5 игр (по выходным чисто пару каток);1;2;5;4;1;5;5;3;4;5;2;2;1;2;5;5;2;2;2;3;5;3;Пудж, 146, 59.59%. Виндрангер, 112, 57.14%. Сралк, 52, 65.38%
2021/11/10 6:42:32 PM GMT+3;7634;М;15;3450;3450;3800;11-20 игр (почти каждый день по несколько игр);2;1;2;4;1;1;1;4;2;4;4;2;1;1;4;4;3;5;4;1;5;2;"Лион - 33 игры, 51,5%; Тини - 28 игр, 60,7%; Рубик - 25 игр, 48%; Пудж - 25 игр, 36%(написал 4 героя, т.к. на Рубике и на Пудже одинаковое количество игр)."
2021/11/10 6:46:57 PM GMT+3;7635;М;20;4300;3800;5000;Больше 30 игр (по много пабликов каждый день);4;5;5;2;3;5;5;4;5;4;4;1;2;5;4;1;1;2;3;2;2;1;(Lone druid, 279 игр, 60.8% вин рейт) (Clincz. 150 игр, 62%) (storm spirit, 149 игр, 54.4%)  (Рики, 141 игра, 69,5%) Windranger, 125 игр, 60,8%) (pfantom assasin, 121 игра, 62,8%) (legion comander, 120 игр, 48,3%)                       (Lone druid со второго аккаунта с 3200, 136 игр, 75% винрейт)
2021/11/10 6:49:04 PM GMT+3;7636;М;19;4400;4350;6k;20-30 игр (каждый день по несколько игр);2;3;4;4;2;2;4;3;3;4;2;1;1;5;5;4;2;5;3;1;3;2;Цк 400 66%, Урса 900 61%, Вр 350 59%
2021/11/10 6:49:19 PM GMT+3;7637;М;16;1000;690;800;11-20 игр (почти каждый день по несколько игр);3;2;2;2;2;1;5;2;2;4;1;3;4;4;5;5;3;5;5;3;4;4;"Фейслесс войд 199 игр 53%
Финд 113 игр 49%
Пудж 75 игр 56%"
2021/11/10 7:01:26 PM GMT+3;7638;М;16;1250;1000;1500;Больше 30 игр (по много пабликов каждый день);2;3;1;5;2;5;5;3;5;4;1;3;2;5;5;3;4;5;3;5;5;2;Тинкер 100 игр, 45%, Инвокер 150 игр, 52% Антимаг 50 игр, 54%
2021/11/10 7:03:33 PM GMT+3;7639;М;14;341;341;573;11-20 игр (почти каждый день по несколько игр);3;2;3;3;2;4;1;5;4;4;3;1;1;2;4;4;2;2;1;3;5;3;Течис,37 игр, 48,6% Баратрум, 16 игр, 68,8%  Цмка, 11 игр, 63,6%
2021/11/10 7:04:54 PM GMT+3;7640;М;22;3300;2800;2300;6-10 игр (пару дней в неделю стабильно-дота);3;2;3;3;2;3;5;3;1;4;2;1;1;5;3;3;3;2;4;2;3;3;Кунка 259 игр 56.76%, пудж 101 игра 50.5% снайпер 77 игр 55.84%
2021/11/10 7:06:38 PM GMT+3;7641;М;16;2440;2440;1128;1-5 игр (по выходным чисто пару каток);2;1;1;5;2;1;2;4;1;5;3;1;2;5;5;3;3;5;4;2;1;2;"Сларк, 39 игр, 61%
Лайвстилер, 28 игр, 60%
Фантом Лансер, 27 игр, 70%"
2021/11/10 7:09:57 PM GMT+3;7642;М;19;4200;3150;4к;1-5 игр (по выходным чисто пару каток);1;1;1;5;1;3;5;4;1;4;1;1;3;3;4;3;5;3;5;3;5;3;Течис 300 игр, 70%, пудж 200игр 60%
2021/11/10 7:10:35 PM GMT+3;7643;М;19;3200;2880;4000;6-10 игр (пару дней в неделю стабильно-дота);1;1;1;3;1;2;2;1;1;1;4;1;1;1;3;4;3;4;3;1;4;3;Пудж 250 игр 58%, Вр 98 игр 60%, Земля 80 игр 60%
2021/11/10 7:17:06 PM GMT+3;7644;М;19;3800;3500;3500;6-10 игр (пару дней в неделю стабильно-дота);3;2;3;2;1;3;5;5;1;5;4;1;1;1;2;1;1;1;1;5;3;2;"Магнус, 381, 54.1%
Тинкер, 150, 64%
Виндраннер, 139, 61.2%"
2021/11/10 7:20:18 PM GMT+3;7645;М;20;2800;2500;3500;20-30 игр (каждый день по несколько игр);3;4;5;5;4;5;5;5;5;5;2;1;1;5;5;4;3;4;4;4;5;2;пудж, 112 игры 60%
2021/11/10 7:20:21 PM GMT+3;7646;М;15;3600;3000;3000;Больше 30 игр (по много пабликов каждый день);2;4;5;5;2;5;1;5;2;4;2;1;1;5;5;2;2;3;3;1;3;2;Инвокер, 257 игры, 52%. Мипо 160 игры 57%. Сф 100 игры 50%
2021/11/10 7:21:06 PM GMT+3;7647;М;23;3200;2000;14к;20-30 игр (каждый день по несколько игр);2;2;2;1;2;3;4;5;2;3;1;5;4;1;5;5;1;1;1;5;5;5;Лон друид 300+61%БОНИК 150+60%МАРС 76 59%
2021/11/10 7:23:19 PM GMT+3;7648;М;20;5480;5480;5 тысяч;11-20 игр (почти каждый день по несколько игр);2;4;2;3;2;2;4;4;2;4;2;2;2;5;5;3;3;4;3;3;4;1;—
2021/11/10 7:28:09 PM GMT+3;7649;М;17;1200;600;2000;11-20 игр (почти каждый день по несколько игр);3;2;3;2;1;1;2;4;2;5;4;1;1;4;3;2;2;3;5;5;4;5;techies 119 58.8%, nature's prophet 71 56.3%,shadow shaman 30 53.3%
2021/11/10 7:29:32 PM GMT+3;7650;М;14;600;180;644 часа;11-20 игр (почти каждый день по несколько игр);2;1;2;4;3;3;4;4;1;5;2;1;1;5;4;3;3;5;5;5;4;4;Earth Spirit 13 игра 61,5% Lina 18 игр 61,1% Tinker 19 игр 47,4%
2021/11/10 7:32:11 PM GMT+3;7651;М;21;3170;2980;1100;6-10 игр (пару дней в неделю стабильно-дота);1;1;1;3;1;3;2;5;5;2;3;1;1;1;2;1;1;5;5;5;1;3;Сф 57% 200 игр, Ам 50% 100 игр
2021/11/10 7:33:52 PM GMT+3;7652;М;27;5500;4700;10000;20-30 игр (каждый день по несколько игр);2;4;1;4;3;1;5;5;4;5;3;5;3;3;5;4;3;4;5;4;4;4;"Морф, 237 игр, 58%
Инвокер, 368 игр, 51%
Антимаг, 157 игр, 55%"
2021/11/10 7:36:41 PM GMT+3;7653;М;23;4500;4080;4954;11-20 игр (почти каждый день по несколько игр);1;2;1;3;1;2;1;1;4;4;2;1;1;3;4;3;3;4;3;5;3;3;"Phantom assassin, 221 games, 64.7%; Windranger, 212 games, 59%; Lina, 162 games, 48,1%."
2021/11/10 7:38:40 PM GMT+3;7654;М;18;5500;5100;5500;11-20 игр (почти каждый день по несколько игр);1;4;2;5;2;1;5;3;3;5;1;1;1;4;5;2;2;1;1;3;3;1;инвокер 1100 57%, морф 300 51%, вк 150 69%
2021/11/10 7:39:53 PM GMT+3;7655;М;16;2020;1960;1980;6-10 игр (пару дней в неделю стабильно-дота);3;1;1;3;1;2;2;4;1;4;4;1;1;5;4;2;2;3;4;2;1;2;пудж 55 игр 58%, дазл 25 игр 56%, клинкз 16 игр 81%
2021/11/10 7:40:15 PM GMT+3;7656;М;26;3800;2700;1000;6-10 игр (пару дней в неделю стабильно-дота);1;2;5;5;1;3;4;5;4;5;5;1;1;3;4;3;1;3;3;2;3;2;"Morphling 569 52.37% 
Phantom Lancer 60 61.67%
Drow Ranger 51 62.75%"
2021/11/10 7:40:34 PM GMT+3;7657;М;23;4040;3950;4000;20-30 игр (каждый день по несколько игр);1;3;4;5;3;2;1;4;4;5;1;1;1;5;5;3;3;5;5;1;3;1;Arc Warden 340 игр 60.9%, Night Stalker 244 игры 59,8%, Faceless Void 138 игр 50%
2021/11/10 7:41:42 PM GMT+3;7658;М;17;1000;900;1000;6-10 игр (пару дней в неделю стабильно-дота);3;4;2;3;4;1;5;1;2;5;4;4;3;5;5;5;3;3;5;5;5;4;"Бристлбек, 115, 54.8%; ВК, 65, 61.5%; Лега, 59,50.8%"
2021/11/10 7:42:43 PM GMT+3;7659;М;16;2500;2500;1500;11-20 игр (почти каждый день по несколько игр);3;2;1;4;1;1;2;4;2;5;1;1;1;4;4;2;2;3;5;1;2;3;Lycan 152 игры, 68% Drow Ranger 120 65% Monkey king 100 66%
2021/11/10 7:45:59 PM GMT+3;7660;М;23;1200;105;2632;1-5 игр (по выходным чисто пару каток);1;1;1;4;1;3;2;3;2;4;2;1;1;5;4;3;2;2;4;5;3;2;"Axe 51игрa, 58,33%
Nyx Assassin 48 игр, 58,33%
Crystal Maiden 39 игр, 52,28%"
2021/11/10 7:47:39 PM GMT+3;7661;М;13;400;300;1000;20-30 игр (каждый день по несколько игр);3;5;3;5;1;5;1;5;5;5;1;1;1;5;5;1;5;4;3;1;5;3;Ursa 44  43.18%      Arc Warden 42  50.00%  Dawnbreaker 27 51.85%
2021/11/10 7:47:54 PM GMT+3;7662;М;16;1740;1740;1000;6-10 игр (пару дней в неделю стабильно-дота);3;1;4;5;2;2;3;2;2;5;2;1;1;2;4;1;2;1;2;1;3;2;"Оракул, 50 игр, 60%; бэйн, 30 игр, 55%;  феникс, 30 игр, 60%"
2021/11/10 7:49:22 PM GMT+3;7663;М;20;4990;4200-4500;7000;20-30 игр (каждый день по несколько игр);4;3;2;5;3;1;1;4;4;4;2;5;3;4;5;4;3;1;5;3;4;4;Windranger 319 игр 56.1%. Monkey king 254 игры 58.7%. Weaver 247 игр 61.1%
2021/11/10 7:50:14 PM GMT+3;7664;М;24;3900;2600;3700;1-5 игр (по выходным чисто пару каток);1;2;1;5;1;1;1;3;1;5;1;1;1;5;4;2;4;5;5;1;2;2;"103 44.6% 100 59% 86 40% (надо было спросить на ком играешь в последнее время, т.к. большинство из этих игр было еще в начале пути, сейчас человек уже может на них не играть, он на них с игрой знакомился; + надо было просить смотреть стату именно по рейтинговым матчам) Спасибо за труд"
2021/11/10 7:51:53 PM GMT+3;7665;Ж;20;2100;1800;2890;11-20 игр (почти каждый день по несколько игр);4;3;2;4;2;2;4;2;3;4;2;1;1;4;4;2;3;4;3;3;4;4;"Энчантресс 316, 51%; Варлок 210, 65%; Вич Доктор 199, 54%"
2021/11/10 7:52:15 PM GMT+3;7666;Ж;24;2100;1300;4300;6-10 игр (пару дней в неделю стабильно-дота);1;1;2;3;2;4;1;4;2;4;4;1;1;1;4;3;2;2;2;3;1;3;Crystal Maiden: 200 игр, 64.5%/  Disruptor: 126 игр, 49.2% / Lion: 119 игр, 56.3%
2021/11/10 7:55:10 PM GMT+3;7667;М;20;4700;4000;6500;11-20 игр (почти каждый день по несколько игр);5;5;5;5;2;3;4;5;4;5;1;1;1;5;5;5;4;2;5;4;5;1;"Juggernaut - 250~, 60%~; Phantom Assasin - 200~, 60%; Anti-mage - 200~, 55%~"
2021/11/10 7:55:25 PM GMT+3;7668;М;16;6400;5300;1500;1-5 игр (по выходным чисто пару каток);3;3;4;3;2;3;5;5;5;5;1;5;5;1;5;4;4;5;2;5;5;1;"Naga siren 287 игр 78%
Shadow fiend 70 игр 42%
Beastmaster 97 игр 72%"
2021/11/10 7:55:50 PM GMT+3;7669;М;28;4000;3500;7000;6-10 игр (пару дней в неделю стабильно-дота);3;3;4;3;3;4;5;5;4;4;2;2;1;5;3;4;3;4;3;4;5;5;"Silencer,  201игры, 55.31%; ОД, 108 игр, 55,60%; Slark 412 игр, 56,88%. (2 аккаунта 3-3.5)"
2021/11/10 7:57:58 PM GMT+3;7670;М;17;3850;3850;6520,5;1-5 игр (по выходным чисто пару каток);4;2;4;3;1;1;3;4;5;3;3;1;1;1;4;5;1;5;1;5;5;2;"Тинкер 493 71,2% (после реворка не трогал,дабы не портить винрейт,единственный герой,на котором я мог получать эйфорию от осознания того,что от меня что-то зависит/я на 10 голов выше,чем на любом другом герое как пример того,что я не делал на других героях:играл максимально сейвово,обдумывая куда могу пойти (на других вообще пофиг,авось за тупой девард не убьют),колил даже в пабе и играл до конца с любыми игроками,успокаивая и давая указания через колесо чата,ибо с 2015 года,когда мне было 11 что-ли,я боюсь юзать микрофон,хотя уже не совсем школьник,но колесо чата спецом настроил что бы выжимать максимум из игры на этом герое,специально подобрав 3 типа:уникальные для тинкера фразы, ""нет маны"",""уже иду"",""врага на линии нет"" (на других мидерах не играл, а с боковых лайнов сс не дают),фразы признающие вину: ""виноват"",""я сожалею о своём поступке"",и поддерживающие других ""Успокойся,всё в порядке"",""Удачи и весёлой игры"",а так же имел специально настроенные под героя клавиши,к примеру блинк на колесо мыши,что позволяло делать блинкаут куда чаще,чем должен был бы. Считал время до таймингов,смотрел много контента,что бы играть лучше, знаком чуть лучше в плане общения,чем большинство с топ 1 ( в прошлом) тинкером дб Radical Highway,даже тревела есть от него,способен подстраивать сборку под героев врага,зная контрпики и с кем приятно играть,из чего следовало большое количества стаков и пик биста,для вижена,если тинкер был за меня,дабы проявить тинкеровскую солидарность,(если бы мне кто то так посаппортил,когда я на нём,пусть хотя бы у него 10 стаков и вижен будет))..
    Всё это из-за того,что очень дорожу винрейтом на нём, поэтому скорее всего больше никогда на нём играть не научусь,ибо сейчас играю только в следствии жгучего желания взять и поиграть,обычно на герое с классным дизайном,к которым Тинкер не относится,скорее это: Outworld Devourer, Winter Wyvern или Wisp,что то в них есть.
Crystal Maiden 180 54%, ( не знаю как так вышло,парадоксальный герой,где не посмотри,та ещё шляпа,мса нет,маны даже на все 3 скилла не хватает,в соло не завозит,да и судя по винрейту,я ею явно не в пати с более сильными игроками играл,а в пабе зачем то пикал,хотя саппорты для хорошего препровождения, в плане отсутствия ответственности за поражения,ибо варды стоят - стоят, кура есть - есть,а остальное вина кора,я не я Тинкер единственная кор сигна моя,а так же вариативности геймплея,есть и получше).
   Никс 102 игры 67%, любой игрок на тинкере,видя его против себя берёт его и это норма.
   Урса 88 игр 53%,эхх учился играть на ней в 2015.

Я это расписал,потому что на мой взгляд,ответы какие то противоречивые вышли,играю не по фану,при этом пуская игру на самотек,в надежде получить удовольствие от системы 50%,жаль что реворк тинкера больше не позволяет мне получить удовольствие от истинного умения играть выше других,остается лишь спамить OD  в надежде на тиму и что когда нибудь (хотя скорее если играть по пару игр в неделю,скорее никогда), я смогу получить то,что никогда после реворка мне не достичь.

Наверно зря я всё это расписываю,перечитав,чувствую что написал какую то глупость,от меня просили конкретную вещь,а не душу выливать... ну ладно,вряд ли из 1000 ответов,это кто-то прочитает,а даже если прочитает,запомнит больше чем на пару часов. Sry за этот бред."
2021/11/10 8:01:04 PM GMT+3;7671;М;14;320;220;700;20-30 игр (каждый день по несколько игр);2;2;5;3;5;4;5;4;5;2;3;1;1;2;3;1;2;5;3;5;5;1;"Мипо ,129 игр , 51,9% 
тини 31 игра, 52%
сф 32 игры, 49%"
2021/11/10 8:01:08 PM GMT+3;7672;М;18;3500;-;4191;11-20 игр (почти каждый день по несколько игр);1;2;4;4;3;1;5;5;5;5;1;3;1;5;5;5;5;5;5;2;4;1;антимаг, сф, терроблейд
2021/11/10 8:03:35 PM GMT+3;7673;М;15;240;10;+-450;11-20 игр (почти каждый день по несколько игр);1;1;2;3;1;1;3;1;2;5;5;1;1;4;5;2;2;4;1;5;2;2;мк +- 20(+-40%), медуза +- 19(+-50), и гуляш +- 10 (10%) наверное)
